Data Bencana,,,,,,,,,,,,,,,
No.,Kode Identitas Bencana,ID Kabupaten,Tanggal Kejadian,Kejadian,Lokasi,Kabupaten,Provinsi,Kronologi & Dokumentasi,Penyebab,Meninggal,Hilang,Terluka,Rumah Rusak,Rumah Terendam,Fasum Rusak
2730,7208 101 2022 08 014 1,7208,14/08/2022,BANJIR,Kec. Torue Ds. Torue Kec. Parigi Barat Ds. Kayuboko,PARIGI MOUTONG,SULAWESI TENGAH,Dokumentasi,● dipicu akibat hujan dengan intensitas lebat yang terjadi di wilayah Kab. Parigi Moutong dan terjadi meluapnya beberapa sungai dan menggenangi perumahan warga,,,,0,40,0
2731,3201 101 2022 08 013 1,3201,13/08/2022,BANJIR,Kec. Cigudeg Ds. Wargajaya Kec. Jasinga Ds. Jugalajaya,BOGOR,JAWA BARAT,Dokumentasi,● Dikarenakan hujan dengan intensitas tinggi yang cukup lama sehingga kali Cikasungka meluap masuk ke pemukiman warga dan TPT banyak yg ambruk karena kencangnya arus kali.,,,,14,10,0
2732,7204 101 2022 08 013 1,7204,13/08/2022,BANJIR,Kec. Lore Utara Ds. Bumi Banyusari,POSO,SULAWESI TENGAH,Dokumentasi,● Dipicu akibat hujan dengan intensitas tinggi mengakibatkan meluapnya Sungai Pombala ke area perkebunan dan pemukiman warga setinggi lutut orang dewasa.,,,,0,60,0
2733,7208 101 2022 08 012 1,7208,12/08/2022,BANJIR,Kec. Moutong Utara Ds. Lobu Ds. Moutong Utara,PARIGI MOUTONG,SULAWESI TENGAH,Dokumentasi,"● Dipicu oleh tingkat curah hujan yang tinggi pada hari Jumat, 12 Agustus 2022, pkl. 15:00 WITA sehingga mengakibatkan meluapnya sungai moutong di Ds. Lobu pada pkl. 19:00 WITA",,,,0,293,0
2734,7373 101 2022 08 012 1,7373,12/08/2022,BANJIR,Kec. Tellu Wanua Kel. Mancani Kec. Wara Kel. Amassangan Kel. Dangerakko Kec. Wara Timur Kel. Surutanga Kel. Salotellue Kel. Ponjalae Kec. Wara Barat Kel. Tamarundung,KOTA PALOPO,SULAWESI SELATAN,Dokumentasi,"● Dipicu akibat hujan dengan intensitas tinggi dan angin kencang, sehingga meluapnya air di beberapa titik di Kota Palopo, dan juga menyebabkan pohon tumbang yg berada di poros Palopo - Tanah Toraja",,,,0,201,0
2735,3218 101 2022 08 011 1,3218,11/08/2022,BANJIR,Kec. Cimerak Ds. Kertamukti,PANGANDARAN,JAWA BARAT,Dokumentasi,Dipicu oleh intensitas curah hujan yang cukup tinggi,,,,0,53,0
2736,3201 101 2022 08 010 1,3201,10/08/2022,BANJIR,Kec. Cibinong Ds. Pakansari,BOGOR,JAWA BARAT,Dokumentasi,"Dipicu oleh pembangunan Hotel Sayaga serta sampah yang terbawa aliran air, membuat saluran air atau gorong-gorong yang berada di perumahan Mutiara Hijau dan mengarah ke aliran Setu Bantenan tersendat",,,,0,82,0
2737,7322 101 2022 08 010 1,7322,10/08/2022,BANJIR,Kec. Malangke Barat Ds. Limbong Wara Kec. Baebunta Selatan Ds. Lembang-lembang,LUWU UTARA,SULAWESI SELATAN,Dokumentasi,"Dipicu oleh intensitas curah hujan yang tinggi selama 2 hari berturut-turut disertai jebolnya tanggul sungai sehingga terjadi banjir pada hari Rabu, 10 Agustus 2022, Pkl. 05:00 WITA",,,,0,338,0
2738,3301 101 2022 08 010 1,3301,10/08/2022,BANJIR,Kec. Wanareja Ds. Adimulya Ds. Malabar Ds. Majingklak Ds. Madura Ds. Sidamulya Ds. Madusari,CILACAP,JAWA TENGAH,Dokumentasi,Dipicu oleh intensitas curah hujan yang cukup tinggi dalam durasi yang cukup lama,,,,1,110,0
2739,7402 101 2022 08 010 1,7402,10/08/2022,BANJIR,Kab. Muna Ds. Wambona,MUNA,SULAWESI TENGGARA,Dokumentasi,Dipicu oleh intensitas curah Hujan tinggi mengakibatkan debit air sungai Wambona meluap,,,,0,150,0
2740,7409 101 2022 08 010 1,7409,10/08/2022,BANJIR,Kec. Wakorumba utara Ds. Wantulasi Kec. Kambowa Kel. Kambowa Ds. Lahumoko Ds. Bubu Kec. Bonegunu Ds. Eensumala Ds. Rantegola Kel. Bonegunu,BUTON UTARA,SULAWESI TENGGARA,Dokumentasi,"Dipicu oleh intensitas curah Hujan yang tinggi disertai air pasang laut dan meluapnya sungai Wantulasi, Rantegola, Karede, Lapandewa dan sungai Kambowa",,,,0,315,1
2741,7503 101 2022 08 08 1,7503,08/08/2022,BANJIR,Kec. Paguat Kec. Dengilo Ds. Molamahu,POHUWATO,GORONTALO,Dokumentasi,● Hujan deras yg mengguyur Kec. Dengilo dan Paguat menyebabkan banjir,,,,0,40,0
2742,6101 101 2022 08 06 1,6101,06/08/2022,BANJIR,Kec. Sambas Ds. Semangau Kec. Selakau Timur Ds. Buduk Sempadang,SAMBAS,KALIMANTAN BARAT,Dokumentasi,● Dipicu intensitas hujan yang sedang hingga lebat mengakibatkan terjadinya banjir,,,,0,180,0
2743,7110 101 2022 08 06 1,7110,06/08/2022,BANJIR,Kec. Pinolosian Ds. Tolotoyon Ds. Ilomata,BOLAANG MONGONDOW SELATAN,SULAWESI UTARA,Dokumentasi,● Dipicu intensitas hujan yang sedang hingga lebat mengakibatkan jebolnya tanggul sungai Nunuk,,,,0,333,0
2744,9103 101 2022 08 06 1,9103,06/08/2022,BANJIR,Kec.Windesi Distrik Wendesi,TELUK WONDAMA,PAPUA BARAT,Dokumentasi,"● Dipicu Hujan deras menyebabkan air pada kali Masasopi, Kali Waryowi dan Kali Ranggup",,,,0,78,2
2745,7101 101 2022 08 06 1,7101,06/08/2022,BANJIR,Kec. Dumoga Tengah Ds. Kosio Barat Ds Kosio Timur Ds Kosio Ds Werdi Agung Selatan Kec. Dumoga Timur Ds. Tonom Ds. Mogoyunggung I,BOLAANG MONGONDOW,SULAWESI UTARA,Dokumentasi,● Hujan lebat sejak hari Sabtu 6 Agustus pukul 20.00 WITA sampai Minggu 7 Agustus pukul 02.00 wita mengakibatkan debit air sungai naik hingga meluap ke pemukiman warga,,,,0,179,0
2746,1610 101 2022 08 05 1,1610,05/08/2022,BANJIR,Kec. Lubuk Keliat Ds. Betung I Ds. Betung II Ds. Ketiau Kec. Payaraman Ds. Rengas I,OGAN ILIR,SUMATERA SELATAN,Dokumentasi,● Dipicu curah hujan dengan intensitas tinggi menyebabkan volume air di anak sungai kecil meluap,,,,0,51,0
2747,1607 101 2022 08 05 1,1607,05/08/2022,BANJIR,Kec. Banyuasin III Kel. Seterio Kel. Mulia Agung Kel. Kedodong Raye Kel. Pangkalan Balai,BANYUASIN,SUMATERA SELATAN,Dokumentasi,"● Dipicu curah hujan dengan intensitas tinggi sehingga menyebabkan banjir pada hari Jumat, pkl. 00:50 WIB",,,,0,340,0
2748,6108 101 2022 08 05 1,6108,05/08/2022,BANJIR,Kec. Putussibau Utara Ds. Sibau Hilir Ds. Sibau Hulu Ds. Tanjung Lasa Ds. Padua Mendalam Kel. Hilir Kantor Kel. Putussibau Kota Kec. Putussibau Selatan Ds. Tanjung Lokang Ds. Bungan Kec. Pengkadan Ds. Pengkadan Hilir Kec. Seberuang Ds. Sejiram Ds. Jerenjang Kec. Silat Hilir Ds. Miau Merah,KAPUAS HULU,KALIMANTAN BARAT,Dokumentasi,"● Dipicu curah hujan yang tinggi sejak kemarin sore (Kamis, 04 Agustus 2022) hingga pagi hari (Jumat, 05 Agustus 2022), sehingga sungai di 5 Kecamatan meluap",,,,0,4326,0
2749,6172 101 2022 08 05 1,6172,05/08/2022,BANJIR,Kec. Singkawang Tengah Kel. Roban Kec. Singkawang Barat Kel. Pasiran Kec. Singkawang Selatan,KOTA SINGKAWANG,KALIMANTAN BARAT,Dokumentasi,● Dipicu curah hujan yang tinggi dari sore tanggal 4 Agustus 2022 hingga pagi hari tanggal 5 Agustus 2022 sehingga air sungai meluap,,,,0,53,0
2750,6209 101 2022 08 05 1,6209,05/08/2022,BANJIR,Kec. Petak Malai Ds. Tumbang Habangoi Ds. Nusa Kutau Ds. Batu Tukan Ds. Batu Badak Kec. Sanaman Mantikei Ds. Tumbang Kaman Ds. Tumbang Labehu Ds. Tumbang Manggu Kec. Katingan Tengah Ds. Samba Bakumpai,KATINGAN,KALIMANTAN TENGAH,Dokumentasi,● Dipicu hujan dengan intensitas tinggi di wilayah Hulu mengakibatkan Luapan Sungai Samba dan Sungai Katingan,,,,0,942,0
2751,9104 101 2022 08 05 1,9104,05/08/2022,BANJIR,Distrik Wamesa Kampung Idoor,TELUK BINTUNI,PAPUA BARAT,Dokumentasi,"● Hujan turus dengan deras selama kurang lebih 6 jam, pada pukul 05.00 WIT Air mulai meluap dari sungai Obie dan Idoraroi mengakibatkan terendamnya beberapa tempat",,,,149,,0
2752,7202 101 2022 08 03 1,7202,03/08/2022,BANJIR,Kec. Bunta Ds. Tuntung,BANGGAI,SULAWESI TENGAH,Dokumentasi,● Tingkat curah hujan yang tinggi disertai pendangkalan Daerah Aliran Sungai (DAS) mengakibatkan meluapnya sungai Tuntung ke Jalan Trans Sulawesi.,,,,0,,0
2753,2102 101 2022 08 02 1,2102,02/08/2022,BANJIR,Kec. Bintan Timur Kel. Kijang Kota Kel. Sei Lekop Kel. Sei Enam,BINTAN,KEPULAUAN RIAU,Dokumentasi,● dipicu akibat hujan deras disertai angin kencang di wilayah Kec. Bintan Timur,,,1,1,476,0
2754,7403 101 2022 08 01 1,7403,01/08/2022,BANJIR,Kec. Abuki Ds. Anggoro,KONAWE,SULAWESI TENGGARA,Dokumentasi,● Dipicu hujan dengan intensitas tinggi sehingga menyebabkan jebolnya tanggul di Ds. Anggoro,,,,0,35,0
2755,6206 101 2022 08 01 1,6206,01/08/2022,BANJIR,Kec. Sukamara Ds. Pangkalan Muntai,SUKAMARA,KALIMANTAN TENGAH,Dokumentasi,● Akibat Curah Hujan yang sangat tinggi mengakibatkan debit air sungai bila meluap menyebabkan beberapa rumah warga terendam banjir.,,,,0,15,0
2756,7271 101 2022 07 031 1,7271,31/07/2022,BANJIR,Kec. Mantikulore Kel. Tondo,KOTA PALU,SULAWESI TENGAH,Dokumentasi,Dipicu oleh intensitas curah hujan yang cukup tinggi,,,,0,61,0
2757,7205 101 2022 07 031 1,7205,31/07/2022,BANJIR,Kec. Sindue Ds. Enu,DONGGALA,SULAWESI TENGAH,Dokumentasi,● Intensitas hujan yang tinggi dan pendangkalan sungai menyebabkan meluapnya sungai Enu dusun 3 Karumba hingga ke pemukiman warga dengan ketinggian air ±30 Cm. Juga terjadi tanah longsor di dusun 1 Desa enu yang menutupi badan jalan Trans Tolitoli-Palu,,,,0,10,0
2758,6310 101 2022 07 030 1,6310,30/07/2022,BANJIR,Kec. Mantewe Ds. Mentawakan Mulia,TANAH BUMBU,KALIMANTAN SELATAN,Dokumentasi,Dipicu oleh intensitas curah hujan yang cukup tinggi,,,,0,4,0
2759,7504 101 2022 07 030 1,7504,30/07/2022,BANJIR,Kec. Bulango Utara Ds. Tupa,BONE BOLANGO,GORONTALO,Dokumentasi,Dipicu oleh intensitas curah hujan yang cukup tinggi,,,,0,276,0
2760,1811 101 2022 07 030 1,1811,30/07/2022,BANJIR,Kec. Simpang Ds. Rejo Binangun,MESUJI,LAMPUNG,Dokumentasi,● dipicu akibat hujan dengan intensitas lebat dan saluran drainase/irigasi yang tidak mendukung sehingga menyebabkan banjir,,,,0,1,0
2761,7206 101 2022 07 030 1,7206,30/07/2022,BANJIR,Kec. Lampasio Ds. Ogomatanang,TOLI-TOLI,SULAWESI TENGAH,Dokumentasi,Dipicu oleh intensitas curah hujan yang cukup tinggi,,,,0,10,0
2762,7202 101 2022 07 029 1,7202,29/07/2022,BANJIR,Kec. Moilong Ds. Argakencana,BANGGAI,SULAWESI TENGAH,Dokumentasi,● Dipicu hujan dengan intensitas tinggi dan pendangkalan aliran sungai menyebabkan luapan Sungai Toili hingga ke pemukiman warga dan Jl. Trans Unit 2-HGU dengan ketinggian air ±30 cm.,,,,0,82,0
2763,8206 101 2022 07 029 1,8206,29/07/2022,BANJIR,Kec. Wasile Selatan Ds. Wasile,HALMAHERA TIMUR,MALUKU UTARA,Dokumentasi,● Intensitas hujan Sedang-Lebat yang disertai Kilat/Petir dan Angin Kencang,,,,0,30,0
2764,7208 101 2022 07 028 1,7208,28/07/2022,BANJIR,Kec. Balinggi Ds. Catur Karya,PARIGI MOUTONG,SULAWESI TENGAH,Dokumentasi,● Intensitas hujan yang tinggi mengakibatkan Sungai Baturiti dan Sungai yang ada di Dusun III meluap ke area persawahan dan pemukiman warga.,,,,0,5,4
2765,7208 101 2022 07 028 1,7208,28/07/2022,BANJIR,Kec. Torue Ds. Torue - Dusun V - Dusun III - Dusun II,PARIGI MOUTONG,SULAWESI TENGAH,Dokumentasi,● Curah hujan yang tinggi.,7,4,,42,450,0
2766,8103 101 2022 07 028 1,8103,28/07/2022,BANJIR,Kec. Amahai Ds. Holo,MALUKU TENGAH,MALUKU,Dokumentasi,● Pada pukul 08.15 WIT TRC BPBD Kabupaten Maluku Tengah melakukan Monitoring Daerah Rawan Banjir dikarenakan Kondisi Cuaca dan Hujan Sedang hingga Lebat yang telah berlangsung dalam durasi relatif lama.,,,,0,120,0
2767,7206 101 2022 07 027 1,7206,27/07/2022,BANJIR,Kec. Dakopamean Ds. Kapas,TOLI-TOLI,SULAWESI TENGAH,Dokumentasi,● Intensitas hujan yang tinggi sejak pukul 11.30 WITA sampai dengan pukul 13.37 WITA menyebabkan meluapnya Sungai Melati di Desa Kapas hingga ke halaman rumah warga,,,,0,3,0
2768,7208 101 2022 07 027 1,7208,27/07/2022,BANJIR,Kec. Tomini Ds. Tomini utara Ds.Tomini barat,PARIGI MOUTONG,SULAWESI TENGAH,Dokumentasi,● Intensitas hujan yang tinggi di hulu sungai menyebabkan meluapnya Sungai Tomini hingga ke pemukiman warga,,,,0,60,0
2769,8208 101 2022 07 027 1,8208,27/07/2022,BANJIR,Kec. Taliabu Barat Ds Bobong Ds. Wayo,PULAU TALIABU,MALUKU UTARA,Dokumentasi,● Dipicu intensitas hujan yang tinggi sejak tgl 26 - 27 juli dengan kondisi Sungai yang tidak bisa menampung debit air yang tinggi sehingga menyebabkan meluapnya air sungai ke permukiman warga,,,,0,543,2
2770,6310 101 2022 07 027 1,6310,27/07/2022,BANJIR,Kec. Satui Ds. Makmur Mulia Ds. Sinar Bulan Ds. Sekapuk Kec.Angsana Ds.Angsana Kec. Sungai Loban Ds.Sebamban Lama Ds. Sebamban Baru Ds. Sungai Dua Laut,TANAH BUMBU,KALIMANTAN SELATAN,Dokumentasi,"● Dipicu hujan dengan intensitas ringan hingga sedang yang berlangsung lama dan mengakibatkan banjir pada hari Rabu, 27 Juli 2022, Pkl. 03:40 WITA",,,,0,49,0
2771,6472 101 2022 07 027 1,6472,27/07/2022,BANJIR,Kec. Samarinda Utara Kel. Lempake,KOTA SAMARINDA,KALIMANTAN TIMUR,Dokumentasi,● Dipicu oleh curah hujan tinggi dan diduga terdapat penambangan di daerah Tanjung,,,,0,239,0
2772,7202 101 2022 07 027 1,7202,27/07/2022,BANJIR,Kec. Batui Selatan Ds. Sukamaju I,BANGGAI,SULAWESI TENGAH,Dokumentasi,● Intensitas hujan yang tinggi menyebabkan meluapnya Sungai Sinorang dengan ketinggian ± 1 m hingga ke Pemukiman Warga dan Jalan penghubung Desa,,,,0,50,0
2773,8171 101 2022 07 026 1,8171,26/07/2022,BANJIR,Kec. Teluk Ambon Ds. Laha - Kab. Maluku Tengah Kec. Leihitu Barat Ds. Hattu,KOTA AMBON,MALUKU,Dokumentasi,"● Dipicu hujan dengan intensitas ringan hingga sedang yang berlangsung lama dan diperparah dengan jebolnya tanggul bandara sehingga mengakibatkan banjir pada hari Selasa, 26 Juli 2022, Pkl. 08:00 WIB",,,,0,6,0
2774,3271 101 2022 07 026 1,3271,26/07/2022,BANJIR,Kec. Bogor Tengah Kel. Kebon Kelapa,KOTA BOGOR,JAWA BARAT,Dokumentasi,● Dipicu oleh hujan deras dan kondisi tanah yang labil serta Tembok Penahan Tanah yang rapuh,,,,0,,0
2775,3201 101 2022 07 024 1,3201,24/07/2022,BANJIR,Kec. Ciomas Ds. Sukamakmur,BOGOR,JAWA BARAT,Dokumentasi,"● Dipicu hujan dengan intensitas tinggi sehingga mengakibatkan longsor serta meluapnya anak kali Ciapus dan merendam ke pemukiman warga dengan ketinggian ± 1,5 meter pada hari Minggu, 24 Juli 2022, Pkl. 15:00 WIB",,,,1,29,0
2776,7210 101 2022 07 023 1,7210,23/07/2022,BANJIR,Kec. Kulawi Ds. Sungku,SIGI,SULAWESI TENGAH,Dokumentasi,"● Dipicu Intensitas hujan yang tinggi pada Jumat, 22 Juli 2022 pukul 21.00 WITA sampai dengan Sabtu, 23 Juli 2022 pukul 03.00 WITA mengakibatkan meluapnya aliran sungai Kalipuho dengan membawa material lumpur & kayu hingga ke pemukiman warga dan juga Tanah Longsor di beberapa titik di dusun II dan III Desa Sungku.",,,,0,19,0
2777,9110 101 2022 07 022 1,9110,22/07/2022,BANJIR,Distrik Mare Selatan Ds. Sidi,MAYBRAT,PAPUA BARAT,Dokumentasi,"● Dipicu akibat hujan dengan intensitas sedang hingga lebat sehingga mengakibatkan meluapnya Sungai Asen dan berdampak pada warga yang bermukim di Kampung Sidi, Kampung Sire, Kampung Sabes, Kampung Sire Timur dan Kampung Renis.",,,,2,36,0
2778,7307 101 2022 07 022 1,7307,22/07/2022,BANJIR,Kec. Sinjai Utara Kel. Biringere,SINJAI,SULAWESI SELATAN,Dokumentasi,"● Intensitas hujan sedang hingga lebat pada daerah hulu, mengakibatkan luapan pada DAS Manngottong berdampak pd 1 unit Rumah warga tergerus luapan aliran sungai",,,,1,,0
2779,7314 101 2022 07 022 1,7314,22/07/2022,BANJIR,Kec. Putu Riase Ds. Tana Toro,SIDENRENG RAPPANG,SULAWESI SELATAN,Dokumentasi,● Hujan dengan intensitas tinggi yang mengakibatkan Luapan air yg mengakibatkan beberapa Infrastruktur di Desa Tana Toro mengalami Kerusakan,,,,0,,4
2780,7322 101 2022 07 022 1,7322,22/07/2022,BANJIR,Kec. Mappadeceng Ds. Hasana,LUWU UTARA,SULAWESI SELATAN,Dokumentasi,● dipicu akibat hujan dengan intensitas sedang hingga lebat yang terjadi di area hulu dan mengakibatkan sungai baliase meluap,,,,0,10,0
2781,1611 101 2022 07 021 1,1611,21/07/2022,BANJIR,Kec. Pasemah Air Keruh Ds. Talang Randai Ds. Padang Gelai Ds. Muara Rungga Ds. Padang Bindu,EMPAT LAWANG,SUMATERA SELATAN,Dokumentasi,● dipicu akibat hujan dengan intensitas sedang hingga lebat yang terjadi di wilayah Kab. Empat Lawang dan mengakibatkan meluapnya aliran sungai dan menggenangi rumah warga,,,,0,500,1
2782,7301 101 2022 07 021 1,7301,21/07/2022,BANJIR,Kec. Benteng Kel. Benteng Kel. Benteng Utara Kel. Benteng Selatan Kec. Bontoharu Kel. Putabangun Kec. Bonto Matene Kel. Batang Mata Kec. Buki Ds. Kohala,SELAYAR,SULAWESI SELATAN,Dokumentasi,● dipicu akibat hujan dengan intensitas sedang hingga lebat yang terjadi di wilayah Kep. Selayar sehingga menyebabkan beberapa saluran drainase meluap dan menggenangi pemukiman warga,,,,0,125,0
2783,7271 101 2022 07 021 1,7271,21/07/2022,BANJIR,Kec. Mantikulore Ds. Tandolo,KOTA PALU,SULAWESI TENGAH,Dokumentasi,● dipicu akibat hujan dengan intensitas sedang hingga lebat yang terjadi di Kota Palu dan menyebabkan meluapnya DAS dan menggenangi pemukiman warga,,,,0,47,0
2784,8171 101 2022 07 019 1,8171,19/07/2022,BANJIR,Kec. Nusaniwe Kec. Sirimau Kec. Baguala Kec. Teluk Ambon Kec. Lei Timur Selatan,KOTA AMBON,MALUKU,Dokumentasi,● Dipicu oleh curah hujan dengan intensitas sedang hingga lebat,,,,0,1041,0
2785,9416 101 2022 07 018 1,9416,18/07/2022,BANJIR,,YAHUKIMO,PAPUA,Dokumentasi,● Hujan dengan intensitas tinggi dan secara terus menerus,,,,288,,0
2786,8272 101 2022 07 018 1,8272,18/07/2022,BANJIR,Kec. Oba Utara Ds. Kusu Ds. Kaiyasa Kec. Tidore Timur Ds. Dowora Ds. Kalaodi Kec. Tidore Kel. Goto Kel. Tuguwaji Kec. Oba Ds. Kalaodi,KOTA TIDORE KEPULAUAN,MALUKU UTARA,Dokumentasi,Dipicu oleh intensitas curah hujan yang cukup tinggi menyebabkan sungai Toburo dan Ake Kaiyasa meluap,,,,1,34,0
2787,8271 101 2022 07 018 1,8271,18/07/2022,BANJIR,Kec. Ternate selatan Kel. Fitu,KOTA TERNATE,MALUKU UTARA,Dokumentasi,Dipicu oleh intensitas curah hujan yang cukup tinggi,,,,0,13,0
2788,7206 101 2022 07 017 1,7206,17/07/2022,BANJIR,Kec. Dampal Selatan Ds. Tampiala,TOLI-TOLI,SULAWESI TENGAH,Dokumentasi,Dipicu oleh intensitas curah hujan yang cukup tinggi menyebabkan sungai Abbajareng meluap,,,,0,20,0
2789,7205 101 2022 07 017 1,7205,17/07/2022,BANJIR,Kec. Sirenja Ds. Dampal,DONGGALA,SULAWESI TENGAH,Dokumentasi,Dipicu oleh intensitas curah hujan yang cukup tinggi menyebabkan sungai Dampal meluap,,,,0,20,0
2790,7204 101 2022 07 017 1,7204,17/07/2022,BANJIR,Kec. Poso Kota Selatan Ds. Sayo,POSO,SULAWESI TENGAH,Dokumentasi,Dipicu oleh curah hujan tinggi Dari Pukul 17.00 WITA hingga Pukul 20.00 mengakibatkan sungai Sayo Meluap dan membanjiri rumah warga,,,,0,25,0
2791,7209 101 2022 07 017 1,7209,17/07/2022,BANJIR,Kec. Ampana Kota Kel. Malotong Kel. Bailo Baru,TOJO UNA-UNA,SULAWESI TENGAH,Dokumentasi,● Dipicu oleh hujan dengan intensitas tinggi mengakibatkan sungai podi meluap dan membanjiri rumah warga,,,,0,200,0
2792,3216 101 2022 07 016 1,3216,16/07/2022,BANJIR,Kec. Tambun Utara Ds. Kr. Satria Ds. Satria Mekar Ds. Sriamur Ds. Satria Jaya Kec. Babelan Kel. Kebalen Ds. Babelan Kota Ds. Buni Nakti Kec. Sukawangi Ds. Sukamekar,BEKASI,JAWA BARAT,Dokumentasi,● Dipicu oleh intensitas curah hujan yang cukup tinggi menyebabkan kali Bekasi meluap,,,,0,41,0
2793,3603 101 2022 07 016 1,3603,16/07/2022,BANJIR,Kec. Pasar Kemis Ds. Gelam Jaya,TANGERANG,BANTEN,Dokumentasi,● Dipicu oleh intensitas curah hujan yang cukup tinggi,,,,0,20,0
2794,3201 101 2022 07 016 1,3201,16/07/2022,BANJIR,Kec. Tajur Halang Ds. Citayam,BOGOR,JAWA BARAT,Dokumentasi,"dipicu oleh intensitas curah hujan yang cukup tinggi, menyebabkan kali Angke meluap",,,,0,13,0
2795,9105 101 2022 07 016 1,9105,16/07/2022,BANJIR,Kec. Masni Ds. Membowi,MANOKWARI,PAPUA BARAT,Dokumentasi,Dipicu oleh intensitas curah hujan yang cukup tinggi,,,,5,,0
2796,3210 101 2022 07 016 1,3210,16/07/2022,BANJIR,Kec. Sumberjaya Ds. Bongas Wetan,MAJALENGKA,JAWA BARAT,Dokumentasi,● Dipicu oleh intensitas curah hujan yang cukup tinggi Mengakibatkan sungai Cibangomati meluap,,,,0,65,0
2797,8106 101 2022 07 016 1,8106,16/07/2022,BANJIR,Kec. Huamual Ds. Luhu Kec. Elpaputih Ds. Sahulauw,SERAM BAGIAN BARAT,MALUKU,Dokumentasi,Dipicu oleh intensitas curah hujan yang cukup tinggi,,,,0,25,1
2798,3276 101 2022 07 016 1,3276,16/07/2022,BANJIR,Kec. Sawangan Kel. Sawangan Baru Kec. Pancoran Mas Kel. Ratu Jaya,KOTA DEPOK,JAWA BARAT,Dokumentasi,● Dipicu oleh intensitas curah hujan yang cukup tinggi,,,,0,57,0
2799,3671 101 2022 07 016 1,3671,16/07/2022,BANJIR,Kec. Karang Tengah Kel. Pedurenan Kec. Ciledug Kel. Sudimara Barat Kel. Sudimara Selatan Kec. Pinang Kel. Pinang Kec. Cipondoh Kel. Petir,KOTA TANGERANG,BANTEN,Dokumentasi,● Dipicu oleh intensitas curah Hujan yang cukup tinggi menyebabkan kali Angke meluap dan tanggul sungai jebol di Pinang Griya,,,,0,700,0
2800,3215 101 2022 07 016 1,3215,16/07/2022,BANJIR,Kec. Telukjambe Barat Ds. Karangligar,KARAWANG,JAWA BARAT,Dokumentasi,● Dipicu oleh intensitas curah hujan yang cukup tinggi,,,,0,304,0
2801,3376 101 2022 07 016 1,3376,16/07/2022,BANJIR,Kec. Tegal Barat Kel. Tegalsari Kel. Kraton Kec. Tegal Timur Kel. Panggung Kel. Mintaragen Kel. Kejambon Kec. Margadana Kel. Pesurungan Kidul Kel. Sumurpanggang Kel. Margadana Kel. Krandon Kel. Kalinyamat Kulon Kel. Pesurungan Lor Kec. Tegal Selatan Kel. Randugunting,KOTA TEGAL,JAWA TENGAH,Dokumentasi,● Dipicu oleh intensitas curah hujan yang cukup tinggi,,,,0,397,0
2802,8206 101 2022 07 015 1,8206,15/07/2022,BANJIR,Kec. Maba Tengah Ds. Bangul Ds. Babasaram Ds. Beringin Lamo,HALMAHERA TIMUR,MALUKU UTARA,Dokumentasi,● Dipicu oleh intensitas curah hujan yang cukup tinggi,,,,0,49,0
2803,3201 101 2022 07 015 1,3201,15/07/2022,BANJIR,Kec. Dramaga Ds. Cikarawang Ds. Babakan Kec. Gunung Putri Ds. Gunung Putri Ds. Bojong Kulur Kec. Sukaraja Ds. Cilebut Timur Ds. Cimandala Ds.Cilebut Barat Ds. Pasir Jambu Kec.Citeureup Ds. Puspa Negara Ds. Puspasari Kec. Bojong gede Ds. Waringin jaya Ds. Bojonggede Ds. Bojongwaru Ds. Pabuaran Ds. Ragajaya Kec. Jonggol Ds. Sukamaju Kec. Kemang Ds. Semplak Barat Kec. Cibinong Ds. Nanggewer Ds. Karadenan Ds. Pakansari Kec. Jasinga Ds. Pangaur Kec. Parung Ds. Jabon Mekar Ds. Pamagersari Kec. Rancabungur Ds. Bantarjaya Ds. Bantarsari Kec. Megamendung Ds. Cipayung Datar Kec. sukamakmur Ds. Sirnajaya,BOGOR,JAWA BARAT,Dokumentasi,● Dipicu hujan deras dengan intensitas tinggi dan adanya pendangkalan aliran sungai pesanggrahan mengakibatkan beberapa titik wilayah tersebut terendam banjir,,,,4,2911,0
